ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
11-147-010               ,550,Case_Case Material                                ,7958,Steel,SGCC Steel
11-147-010               ,549,Case_Color                                        ,7954,Black,
11-147-010               ,566,Case_Dimensions (H x W x D)                       ,,,18.8" x 7.3" x 16.0"
11-147-010               ,560,Case_Expansion Slots                              ,8008,7,
11-147-010               ,558,Case_External 3.5" Drive Bays                     ,8037,2,
11-147-010               ,556,Case_Features                                     ,,,"Case  Sturdy construction with steel  Ease of serviceability & upgrade   Virtually tool-less, precise & easy assembly    PSU  Connector:  1 x 20+4 pin MB connector  2 x Peripheral power connector  1 x Floppy power connector  2 x Serial ATA connector   1 x P4 connector         Output: 350W Max.  +3.3V 28A, +5V 35A, +12V 16A,-5V 0.3A,-12V 0.8A, +5VSB 2A"
11-147-010               ,562,Case_Front Ports                                  ,289183,USB 2.0 / Audio,2 x USB 2.0 / Audio
11-147-010               ,547,Case_Model                                        ,,,R103A
11-147-010               ,552,Case_Motherboard Compatibility                    ,50167,Micro ATX / ATX,
11-147-010               ,551,Case_Power Supply                                 ,8405,350W,350W(Model:LC-8360BTX)
11-147-010               ,7907,Case_Power Supply Mounted                         ,49143,Top,
11-147-010               ,6059,Case_PSU Main Connector                           ,39231,20+4Pin,
11-147-010               ,565,Case_Side Air duct                                ,8436,No,
11-147-010               ,555,Case_Side Panel Window                            ,8422,No,
11-147-010               ,548,Case_Type                                         ,8287,ATX Mid Tower,
11-147-010               ,567,Case_Weight                                       ,,,18 lbs.
11-147-010               ,2958,Case_With Power Supply                            ,19208,Yes,
11-147-010               ,3093,Computer Case_External 5.25" Drive Bays           ,21157,4,
11-147-010               ,3095,Computer Case_Internal 3.5" Drive Bays            ,21182,4,
11-147-010               ,36390,GroupBy Case_Color                                ,435349,Black,
11-147-010               ,36391,GroupBy Case_Type                                 ,435389,ATX Mid Tower,
11-147-010               ,3883,Manufacturer Warranty_Labor                       ,,,1 year limited
11-147-010               ,3882,Manufacturer Warranty_Parts                       ,,,1 year limited
11-147-023               ,870,Case_120mm Fans                                   ,8026,2,1 x 120mm Blue LED front fan  1 x 120mm fan
11-147-023               ,868,Case_80mm Fans                                    ,19233,No,
11-147-023               ,1717,Case_Brand                                        ,11838,Rosewill,
11-147-023               ,550,Case_Case Material                                ,8391,Steel / Plastic,
11-147-023               ,549,Case_Color                                        ,7954,Black,
11-147-023               ,566,Case_Dimensions (H x W x D)                       ,,,18.50" x 7.28" x 16.06"
11-147-023               ,560,Case_Expansion Slots                              ,8008,7,
11-147-023               ,558,Case_External 3.5" Drive Bays                     ,8037,2,
11-147-023               ,556,Case_Features                                     ,,,"Fits ATX standard motherboards and power supplies    Fits large 11.5"" performance graphics cards    Cooling for extreme gamer -  . Included 1 x 120mm blue LED front quiet fan  . Included 1 x 120mm rear quiet fan  . option for 2 more 120mm or 3 x 80mm fan    Tool less installation for all devices (ODD, HDD, FDD＃)/could also transform to traditional mount    Black internal coating, includes all accessories    Meshed front panel with filter allows for great airflow    Cable management    Easy access CPU cooler installation window without disassembly whole system for extreme cooler"
11-147-023               ,562,Case_Front Ports                                  ,289188,USB 2.0 / Audio / e-SATA,4 x USB 2.0 / Audio / 1 x e-SATA
11-147-023               ,547,Case_Model                                        ,,,Blackbone
11-147-023               ,552,Case_Motherboard Compatibility                    ,521021,BABY AT / Micro ATX / ATX,
11-147-023               ,7907,Case_Power Supply Mounted                         ,49143,Top,
11-147-023               ,555,Case_Side Panel Window                            ,8422,No,
11-147-023               ,548,Case_Type                                         ,8287,ATX Mid Tower,
11-147-023               ,2958,Case_With Power Supply                            ,19209,No,
11-147-023               ,3093,Computer Case_External 5.25" Drive Bays           ,21151,3,
11-147-023               ,3095,Computer Case_Internal 3.5" Drive Bays            ,21183,5,
11-147-023               ,36390,GroupBy Case_Color                                ,435349,Black,
11-147-023               ,36391,GroupBy Case_Type                                 ,435389,ATX Mid Tower,
11-147-023               ,3883,Manufacturer Warranty_Labor                       ,,,1 year limited
11-147-023               ,3882,Manufacturer Warranty_Parts                       ,,,1 year limited
11-147-053               ,3673,Case_140mm Fans                                   ,25548,1,1 x Rear 140mm Fan
11-147-053               ,7458,Case_230mm Fans                                   ,75229,3,1 x Front 230mm Red LED Fan (with LED on/off switch)  1 x Top 230mm Fan  1 x Side 230mm Fan
11-147-053               ,1717,Case_Brand                                        ,11838,Rosewill,
11-147-053               ,550,Case_Case Material                                ,7958,Steel,SECC Steel
11-147-053               ,549,Case_Color                                        ,7954,Black,
11-147-053               ,566,Case_Dimensions (H x W x D)                       ,,,22.84" x 9.14" x 21.89"  22.84" x 9.14" x 20.08" (bezel NOT included)
11-147-053               ,560,Case_Expansion Slots                              ,36073,10,
11-147-053               ,558,Case_External 3.5" Drive Bays                     ,8014,1,Jan-00
11-147-053               ,556,Case_Features                                     ,,,"NOTICE: Please make sure your motherboard equipped with on-board USB 3.0 socket before purchasing.    Support up to XL-AT x (13.5"" x 10.3"") / E-AT x (12"" x 10.3"") Motherboard    10 expansion slots    Gaming type - Allow to swing top fins to increase air flow    Front 230mm fan is equipped with LED on/off switch (default is LED off)    Full black interior    Advanced cable management design    Advanced Cooling System:  -Front 1 x 230mm Red LED Fan (pre-installed)  -Rear 1 x 140mm Fan (pre-installed)  -Top 1 x 230mm Fan (pre-installed) or 2 x 120 / 140mm Fan (option)  -Side 1 x 230mm Fan (pre-installed) or 4 x 120mm Fan (option)  -Bottom 1 x 120/140mm Fan (option)    Top mounted dual fan speed control knobs support up to 6 fans.    Screw-less design for 5.25"" Devices & 3.5"" HDDs.    Easy to remove / install front 5.25"" bay covers    HDD trays support 3.5"" or 2.5"" HDD / SSD    Easy-clean PSU filter.    Top mounted IO ports - 2 x USB 3.0, 1 x e-SATA, 2 x USB 2.0, Audio out, MIC in.    Advanced Bottom-Mounted PSU Design."
11-147-053               ,562,Case_Front Ports                                  ,289196,USB 2.0 / USB 3.0 / Audio / e-SATA,2 x USB 3.0 / 2 x USB 2.0 / Audio / 1 x e-SATA / 2 x Fan speed control knob
11-147-053               ,547,Case_Model                                        ,,,THOR V2
11-147-053               ,552,Case_Motherboard Compatibility                    ,521033,Micro ATX / ATX / E-ATX / XL-ATX,
11-147-053               ,7907,Case_Power Supply Mounted                         ,49145,Bottom,
11-147-053               ,565,Case_Side Air duct                                ,8436,No,
11-147-053               ,555,Case_Side Panel Window                            ,8422,No,
11-147-053               ,548,Case_Type                                         ,8289,ATX Full Tower,
11-147-053               ,567,Case_Weight                                       ,,,30.42 lbs.
11-147-053               ,2958,Case_With Power Supply                            ,19209,No,
11-147-053               ,3093,Computer Case_External 5.25" Drive Bays           ,21161,6,6-May
11-147-053               ,3095,Computer Case_Internal 3.5" Drive Bays            ,21184,6,
11-147-053               ,36390,GroupBy Case_Color                                ,435349,Black,
11-147-053               ,36387,GroupBy Case_Series                               ,442061,No,
11-147-053               ,37496,GroupBy Case_Side Window                          ,459783,No,
11-147-053               ,36391,GroupBy Case_Type                                 ,435407,No,
11-147-060               ,870,Case_120mm Fans                                   ,8026,2,1 x 120mm Front Blue LED Fan  1 x 120mm Rear Fan
11-147-060               ,3673,Case_140mm Fans                                   ,25548,1,1 x 140mm Top Fan
11-147-060               ,1717,Case_Brand                                        ,11838,Rosewill,
11-147-060               ,550,Case_Case Material                                ,7958,Steel,SECC Steel
11-147-060               ,549,Case_Color                                        ,7954,Black,
11-147-060               ,566,Case_Dimensions (H x W x D)                       ,,,18.5" x 7.48" x 17.08"
11-147-060               ,560,Case_Expansion Slots                              ,8008,7,
11-147-060               ,558,Case_External 3.5" Drive Bays                     ,8037,2,
11-147-060               ,556,Case_Features                                     ,,,"NOTE : Please make sure your motherboard equipped with on-board USB 3.0 socket before purchasing.    Full black interior    Screw-less design for 5.25"" Devices & 3.5"" HDDs    2.5"" SSD/HDD adapter allows to install 2x 2.5"" SSD/HDD into a 3.5"" HDD slot    Mesh design front panel with dust filters    Top mounted IO ports每 2x USB 3.0(internal header only), 1x eSATA, Audio out, MIC in    Advanced Bottom-Mounted PSU Design    PSU shock-proof pad    Dust filter for PSU    Advanced Cooling System:  -Front 1x 120mm Blue LED Fan (pre-installed)  -Rear 1x 120mm Fan (pre-installed)  -Top 1x 120/140mm Fan (140mm pre-installed)  -Side 2x 120mm Fan (Option)"
11-147-060               ,562,Case_Front Ports                                  ,289188,USB 2.0 / Audio / e-SATA,2 x USB 2.0 / Audio / 1 x eSATA
11-147-060               ,547,Case_Model                                        ,,,CHALLENGER-U3
11-147-060               ,552,Case_Motherboard Compatibility                    ,50167,Micro ATX / ATX,
11-147-060               ,7907,Case_Power Supply Mounted                         ,49145,Bottom,
